InvoiceDate,Australia,Austria,Bahrain,Belgium,Brazil,Canada,Channel Islands,Cyprus,Czech Republic,Denmark,EIRE,European Community,Finland,France,Germany,Greece,Hong Kong,Iceland,Israel,Italy,Japan,Lebanon,Lithuania,Malta,Netherlands,Norway,Poland,Portugal,RSA,Saudi Arabia,Singapore,Spain,Sweden,Switzerland,USA,United Arab Emirates,United Kingdom,Unspecified
2010-12-31,1032.85,277.2,205.74,1809.91,0.0,0.0,363.53,1590.82,0.0,1281.5,10033.26,0.0,892.8,9616.31,15241.14,0.0,0.0,711.79,0.0,811.5,7705.07,0.0,1661.06,0.0,8784.48,3787.12,248.16,2439.9700000000003,0.0,0.0,0.0,1843.73,3834.2999999999997,1304.92,0.0,0.0,748268.98,0.0
2011-01-31,9017.710000000001,0.0,0.0,1200.2,0.0,0.0,675.58,547.5,0.0,0.0,21904.19,0.0,889.02,17740.12,16910.84,2661.24,2439.76,475.39,379.84000000000003,2402.51,0.0,1693.88,0.0,0.0,26611.16,0.0,613.22,4055.71,0.0,0.0,2053.07,10086.09,3486.32,4231.23,0.0,0.0,561289.98,0.0
2011-02-28,14695.42,518.36,0.0,2181.07,0.0,0.0,1784.71,4334.24,549.26,399.22,12248.74,0.0,205.16,8515.96,9581.05,0.0,0.0,0.0,779.1,256.0,5780.8099999999995,0.0,0.0,0.0,23011.91,630.9,604.05,1213.9,0.0,145.92,0.0,2114.5,509.5,2654.92,0.0,889.24,430027.95,0.0
2011-03-31,17223.99,1708.12,0.0,3351.98,0.0,140.54,3509.33,938.39,0.0,3978.9900000000002,22197.51,0.0,5936.82,14589.55,14392.69,387.31,2583.76,0.0,0.0,1806.81,48.9,0.0,0.0,0.0,22416.489999999998,1265.31,317.78,2660.85,0.0,0.0,0.0,5363.15,4720.58,1870.23,0.0,0.0,586230.28,0.0
2011-04-30,771.6,680.78,0.0,1989.48,1143.6,0.0,293.0,0.0,0.0,0.0,7570.5,191.4,1688.92,5529.61,12315.54,609.74,1539.64,636.25,110.0,737.8299999999999,6548.5,0.0,0.0,0.0,2976.56,0.0,705.8399999999999,1687.75,0.0,0.0,8209.58,1785.65,809.1,2076.94,383.95,0.0,476517.761,299.1
2011-05-31,13638.41,1249.43,548.4,2732.4,0.0,534.24,1207.24,0.0,0.0,515.7,18008.760000000002,0.0,0.0,17614.88,25751.2,0.0,1966.16,0.0,0.0,587.45,1351.45,0.0,0.0,0.0,29185.88,0.0,1522.37,4202.2300000000005,0.0,0.0,0.0,3257.6,2681.98,3610.0099999999998,0.0,0.0,639314.36,1055.8700000000001
2011-06-30,25187.77,0.0,0.0,4274.82,0.0,1171.46,2060.0299999999997,1109.32,0.0,3261.15,24863.61,432.05,329.56,16348.41,13274.1,0.0,633.96,382.52,0.0,202.07,1607.04,0.0,0.0,863.16,26858.09,5886.860000000001,343.65000000000003,884.46,0.0,0.0,0.0,3333.21,832.0,7904.15,0.0,0.0,619510.67,185.78
2011-07-31,4964.38,1191.95,0.0,2475.57,0.0,1768.58,0.0,0.0,0.0,376.24,42789.85,676.8,2996.73,10000.19,16440.98,421.24,0.0,0.0,1430.75,147.1,3854.4,0.0,0.0,0.0,26.02,890.0699999999999,687.3,2287.85,0.0,0.0,3949.32,7624.92,6802.09,3998.61,0.0,0.0,601994.841,1425.41
2011-08-31,22489.2,1516.08,0.0,3554.02,0.0,51.559999999999995,4896.78,0.0,0.0,213.15,18353.75,0.0,1376.5,13810.96,19220.77,0.0,2813.9500000000003,584.9100000000001,4873.8099999999995,1990.95,0.0,0.0,0.0,1119.0,40327.81,2025.81,401.8,1221.4,0.0,0.0,0.0,3346.91,1400.8600000000001,4969.89,0.0,0.0,585923.36,531.03
2011-09-30,5106.7300000000005,0.0,0.0,4208.02,0.0,0.0,1323.75,196.35,0.0,4570.16,43086.55,0.0,1105.45,23428.04,18091.22,0.0,2653.95,0.0,423.73,279.8,112.07999999999998,0.0,0.0,0.0,26937.26,8678.94,529.25,1433.22,0.0,0.0,0.0,5189.24,4575.21,8284.86,0.0,1013.04,897076.472,286.85
2011-10-31,17150.53,1043.78,0.0,5685.38,0.0,0.0,2623.32,4412.87,277.48,1490.76,24317.920000000002,0.0,2822.12,33485.45,31638.42,0.0,734.52,1294.32,138.03,3489.69,1948.0400000000002,0.0,0.0,0.0,40708.65,3687.23,0.0,6206.67,1002.3100000000001,0.0,7067.32,8636.94,5766.16,8065.18,2311.2,0.0,938975.01,0.0
2011-11-30,7242.72,1329.78,0.0,6315.76,0.0,0.0,1514.77,460.89,0.0,2699.57,30738.43,0.0,3070.24,31758.71,28025.02,0.0,326.1,0.0,0.0,4571.08,8460.08,0.0,0.0,743.43,25874.01,6527.5,1361.23,2644.9,0.0,0.0,0.0,8678.96,2722.23,8118.96,0.0,0.0,1325346.21,965.75
2011-12-31,0.0,683.2,0.0,1417.73,0.0,0.0,198.4,0.0,0.0,168.9,7340.89,0.0,1232.76,7276.92,7984.17,680.99,0.0,224.82,0.0,200.45000000000002,0.0,0.0,0.0,0.0,11728.02,2785.7000000000003,0.0,2808.19,0.0,0.0,0.0,316.21,238.0,0.0,885.24,0.0,592622.09,0.0
